Shoulder_Right1,Shoulder_Right2,Shoulder_Right3,Elbow_Right1,Wrist_Right1,Wrist_Right2,Wrist_Right3,
-0.419428,0.233888,0.240794,1.2891,-0.527445,-0.237288,-0.752171,
-0.419475,0.233716,0.24077,1.28946,-0.527206,-0.237612,-0.752569,
-0.419489,0.233873,0.240958,1.29008,-0.526852,-0.237727,-0.752655,
-0.41921,0.233443,0.240764,1.29058,-0.526466,-0.23813,-0.752362,
-0.41943,0.233747,0.241194,1.29095,-0.526401,-0.238426,-0.752269,
-0.419456,0.233889,0.241532,1.29159,-0.526248,-0.238636,-0.751721,
-0.41943,0.233994,0.241792,1.29213,-0.526221,-0.238914,-0.752487,
-0.419424,0.233826,0.241705,1.29255,-0.52574,-0.23914,-0.751368,
-0.419355,0.233756,0.241584,1.29309,-0.525546,-0.239234,-0.751653,
-0.419395,0.233838,0.241939,1.29348,-0.525389,-0.239462,-0.751382,
-0.419315,0.233739,0.241857,1.29405,-0.525156,-0.239738,-0.751144,
-0.419409,0.233549,0.241828,1.29437,-0.524826,-0.240007,-0.74974,
-0.41936,0.233702,0.242044,1.29491,-0.52486,-0.239962,-0.750109,
-0.41928,0.233478,0.241828,1.29538,-0.524341,-0.240074,-0.749662,
-0.419289,0.233526,0.242083,1.2958,-0.524468,-0.240354,-0.749532,
-0.419294,0.233477,0.242231,1.29619,-0.524196,-0.24057,-0.750256,
-0.419185,0.233386,0.242093,1.29674,-0.524032,-0.240639,-0.74875,
-0.419237,0.233403,0.242253,1.29706,-0.524076,-0.240766,-0.749752,
-0.419216,0.233312,0.242167,1.29749,-0.52372,-0.240854,-0.748754,
-0.419184,0.232975,0.241932,1.29788,-0.523481,-0.241012,-0.748011,
-0.41911,0.233153,0.242142,1.29832,-0.523448,-0.241101,-0.748674,
-0.419112,0.233137,0.2422,1.29868,-0.523259,-0.241094,-0.748693,
-0.419053,0.233114,0.242302,1.29909,-0.523378,-0.241258,-0.748596,
-0.419092,0.232976,0.242296,1.2994,-0.522937,-0.241379,-0.748684,
-0.41888,0.232868,0.242094,1.29998,-0.522999,-0.24144,-0.747032,
-0.418956,0.232921,0.242354,1.30008,-0.52273,-0.241642,-0.747363,
-0.41887,0.23284,0.242279,1.30062,-0.522747,-0.241539,-0.748029,
-0.41877,0.232545,0.242028,1.30115,-0.522819,-0.241743,-0.746556,
-0.418855,0.232758,0.242374,1.30136,-0.522818,-0.241753,-0.747861,
-0.418878,0.232719,0.242383,1.30155,-0.52242,-0.241825,-0.74737,
-0.41872,0.232533,0.242274,1.30179,-0.522288,-0.24186,-0.74664,
-0.418834,0.232504,0.242563,1.30216,-0.522224,-0.2423,-0.746553,
-0.418577,0.232599,0.242531,1.30274,-0.522187,-0.242274,-0.746598,
-0.41863,0.23225,0.242304,1.30265,-0.521772,-0.242427,-0.745419,
-0.418606,0.232428,0.242541,1.30325,-0.522076,-0.242448,-0.746621,
-0.418695,0.232284,0.242538,1.30319,-0.52148,-0.24263,-0.744971,
-0.418594,0.232385,0.242901,1.30351,-0.52191,-0.243226,-0.748303,
-0.418503,0.232388,0.242807,1.30391,-0.521649,-0.242676,-0.746279,
-0.418473,0.232239,0.242559,1.30405,-0.521433,-0.242518,-0.74604,
-0.418506,0.232165,0.242798,1.30446,-0.521355,-0.242813,-0.744948,
-0.418296,0.232356,0.242958,1.30481,-0.521435,-0.242741,-0.745126,
-0.418338,0.23201,0.242724,1.3049,-0.521272,-0.24304,-0.744173,
-0.418226,0.232088,0.242765,1.3055,-0.521267,-0.243006,-0.745468,
-0.41821,0.232007,0.242732,1.30562,-0.521226,-0.242917,-0.745518,
-0.418097,0.231994,0.242758,1.30597,-0.521216,-0.243094,-0.745081,
-0.417975,0.231856,0.242661,1.30627,-0.521208,-0.243008,-0.745707,
-0.417916,0.231781,0.242857,1.30631,-0.521087,-0.243373,-0.744613,
-0.417992,0.231684,0.242774,1.30653,-0.520816,-0.243223,-0.744805,
-0.417701,0.232014,0.243178,1.30702,-0.52097,-0.243426,-0.746132,
-0.417722,0.231412,0.242548,1.30696,-0.52079,-0.243388,-0.744661,
-0.417605,0.231858,0.243169,1.30755,-0.521092,-0.243458,-0.7452,
-0.417521,0.231482,0.242757,1.30767,-0.520925,-0.243445,-0.744621,
-0.417495,0.23148,0.242839,1.30785,-0.521139,-0.243318,-0.745227,
-0.417317,0.231294,0.242509,1.30818,-0.520954,-0.243286,-0.744402,
