Shoulder_Right1,Shoulder_Right2,Shoulder_Right3,Elbow_Right1,Wrist_Right1,Wrist_Right2,Wrist_Right3
-0.946541,0.105274,0.172749,0.658671,-0.158172,-0.134803,-0.547876
-0.946454,0.105232,0.172624,0.658686,-0.158191,-0.134897,-0.546038
-0.946371,0.105429,0.172774,0.658936,-0.158447,-0.134852,-0.547278
-0.946456,0.105288,0.172547,0.658531,-0.157975,-0.134902,-0.545603
-0.946237,0.105258,0.172296,0.658875,-0.158196,-0.134735,-0.546252
-0.946296,0.105362,0.172377,0.658792,-0.158449,-0.134724,-0.547745
-0.946336,0.105343,0.172348,0.658628,-0.158397,-0.134678,-0.547505
-0.946206,0.105484,0.172552,0.658755,-0.158226,-0.134943,-0.546528
-0.946317,0.105427,0.172715,0.658427,-0.157798,-0.135056,-0.545826
-0.946212,0.10551,0.172714,0.658465,-0.158115,-0.135133,-0.546056
-0.946145,0.105614,0.172571,0.658739,-0.158133,-0.135121,-0.546077
-0.946196,0.105544,0.172679,0.658396,-0.157833,-0.135234,-0.545466
-0.946025,0.105454,0.172245,0.658703,-0.157902,-0.135094,-0.545321
-0.946092,0.105655,0.172735,0.658672,-0.158204,-0.135469,-0.546422
-0.946123,0.105567,0.172562,0.658428,-0.15777,-0.135311,-0.545741
-0.946008,0.105668,0.172388,0.658669,-0.157722,-0.135313,-0.545174
-0.94603,0.105745,0.172945,0.658497,-0.157464,-0.135453,-0.545472
-0.946011,0.105737,0.172638,0.658429,-0.15763,-0.135546,-0.544949
-0.945936,0.105823,0.172415,0.658758,-0.157798,-0.135307,-0.546461
-0.94605,0.105801,0.172693,0.658328,-0.157315,-0.135596,-0.545077
-0.945841,0.105705,0.172402,0.658626,-0.15723,-0.135688,-0.544478
-0.945902,0.105951,0.172916,0.658426,-0.157097,-0.135785,-0.545262
-0.945979,0.105822,0.172728,0.658199,-0.156756,-0.135793,-0.544959
-0.945832,0.105948,0.17277,0.658565,-0.156925,-0.136023,-0.544528
-0.946012,0.105946,0.172808,0.658236,-0.156448,-0.135896,-0.544834
-0.945897,0.106058,0.173115,0.658283,-0.156676,-0.136286,-0.54413
-0.945811,0.106063,0.173017,0.658603,-0.156692,-0.136498,-0.545191
-0.945944,0.106147,0.173329,0.65821,-0.156329,-0.136446,-0.544844
-0.945769,0.106019,0.172951,0.658612,-0.156534,-0.136427,-0.544977
-0.9458,0.106123,0.173216,0.658503,-0.15639,-0.136627,-0.545083
-0.945873,0.10607,0.172953,0.658434,-0.156332,-0.136432,-0.545768
-0.945839,0.10624,0.17327,0.658542,-0.156115,-0.13676,-0.544339
-0.945852,0.106211,0.173295,0.658401,-0.155678,-0.136565,-0.544708
-0.945724,0.106253,0.17356,0.658462,-0.155861,-0.137105,-0.544051
-0.945712,0.106431,0.173791,0.65871,-0.155811,-0.137148,-0.54393
-0.945759,0.106327,0.173831,0.658388,-0.155379,-0.137245,-0.543662
-0.945629,0.106429,0.173871,0.658773,-0.155686,-0.137182,-0.54418
-0.945667,0.106418,0.173941,0.658622,-0.155432,-0.137458,-0.543616
-0.945703,0.106398,0.173804,0.658499,-0.155078,-0.137095,-0.543621
-0.945581,0.106619,0.174039,0.658861,-0.155107,-0.137263,-0.543559
-0.945737,0.106535,0.174043,0.65856,-0.154709,-0.137088,-0.544083
-0.94556,0.106549,0.173841,0.658815,-0.155111,-0.137172,-0.543998
-0.945543,0.106678,0.174111,0.659002,-0.155014,-0.137294,-0.543903
-0.945631,0.106526,0.173827,0.658738,-0.154667,-0.137228,-0.543518
-0.945484,0.106603,0.173819,0.659091,-0.1548,-0.137068,-0.544191
-0.945531,0.106594,0.173961,0.658939,-0.154531,-0.137404,-0.542995
-0.945471,0.106606,0.173882,0.658951,-0.154264,-0.13717,-0.542523
-0.945457,0.106742,0.174086,0.659193,-0.154486,-0.137309,-0.542812
-0.945585,0.106638,0.173885,0.658978,-0.154124,-0.136979,-0.542906
-0.945396,0.106695,0.173865,0.659285,-0.154577,-0.137167,-0.543345
-0.945385,0.10673,0.173884,0.659508,-0.15456,-0.137168,-0.543203
-0.945527,0.106678,0.173881,0.659181,-0.154244,-0.137232,-0.542542
-0.945427,0.106792,0.174056,0.659536,-0.154453,-0.137113,-0.543175
-0.945527,0.106841,0.173974,0.65952,-0.15458,-0.137073,-0.543962
-0.945652,0.106773,0.173854,0.659356,-0.154481,-0.136838,-0.544467
-0.945509,0.106907,0.173923,0.659684,-0.1544,-0.137021,-0.542689
-0.945641,0.106801,0.173743,0.659544,-0.154223,-0.136727,-0.543536
-0.945522,0.106865,0.173835,0.659706,-0.154567,-0.137041,-0.54256
-0.945589,0.107069,0.174302,0.659784,-0.154475,-0.137122,-0.543315
-0.945657,0.106941,0.173946,0.659554,-0.154045,-0.136973,-0.542112
-0.945618,0.106953,0.174135,0.65975,-0.154164,-0.137059,-0.542763
-0.945651,0.106968,0.174014,0.659808,-0.154335,-0.137076,-0.542722
-0.945797,0.106911,0.174085,0.659514,-0.153952,-0.137164,-0.542812
-0.945731,0.107143,0.174254,0.659862,-0.154166,-0.137111,-0.542472
-0.945915,0.106968,0.174004,0.659503,-0.15362,-0.136983,-0.542546
-0.945792,0.107032,0.174425,0.659757,-0.15412,-0.137568,-0.542092
-0.94581,0.107103,0.174295,0.660087,-0.154373,-0.13735,-0.54379
-0.946002,0.107095,0.174381,0.65971,-0.154008,-0.137381,-0.543197
-0.945879,0.107071,0.174383,0.660021,-0.154098,-0.137516,-0.542746
-0.945915,0.107057,0.174275,0.660056,-0.154187,-0.13757,-0.542721
-0.946073,0.107019,0.174317,0.659863,-0.15405,-0.1375,-0.543138
-0.945972,0.107242,0.174749,0.660204,-0.154197,-0.137887,-0.542443
-0.946182,0.107147,0.174673,0.659899,-0.153809,-0.13766,-0.543138
-0.946053,0.107134,0.174635,0.660037,-0.154025,-0.137952,-0.541783
-0.946089,0.107303,0.174831,0.660387,-0.1544,-0.137925,-0.54456
-0.946246,0.107187,0.174809,0.659998,-0.154006,-0.138051,-0.542966
-0.946177,0.107161,0.17476,0.660087,-0.15376,-0.13796,-0.54206
-0.946154,0.107232,0.174949,0.660217,-0.153943,-0.138178,-0.542625
-0.946262,0.107096,0.174685,0.66014,-0.15391,-0.138075,-0.543614
-0.946094,0.107206,0.174733,0.660485,-0.15385,-0.138142,-0.541987
-0.946308,0.10718,0.174589,0.660185,-0.153539,-0.137803,-0.542386
-0.946286,0.107288,0.175038,0.66035,-0.153788,-0.138072,-0.542804
-0.946258,0.107396,0.175149,0.660531,-0.15386,-0.138326,-0.543089
-0.946346,0.107253,0.174974,0.660286,-0.153646,-0.138305,-0.542831
-0.946187,0.107282,0.174909,0.66074,-0.153825,-0.138171,-0.542968
-0.946267,0.107336,0.174995,0.660714,-0.153924,-0.138184,-0.543594
-0.946415,0.107307,0.175259,0.660426,-0.153613,-0.138416,-0.542818
-0.946294,0.107431,0.175312,0.66097,-0.154059,-0.138485,-0.542995
-0.946509,0.107381,0.175368,0.660604,-0.153606,-0.138296,-0.54369
-0.946293,0.107356,0.175203,0.660942,-0.153983,-0.138477,-0.542531
-0.946356,0.107598,0.175628,0.661091,-0.153935,-0.138474,-0.543451
-0.946351,0.107462,0.175562,0.661059,-0.153848,-0.13863,-0.543431
-0.94635,0.107468,0.175513,0.661199,-0.153883,-0.138459,-0.543382
-0.946396,0.107519,0.175727,0.661129,-0.153844,-0.138641,-0.542566
-0.94654,0.107456,0.175513,0.661046,-0.154014,-0.13833,-0.54472
-0.946328,0.107445,0.17547,0.6615,-0.154045,-0.13861,-0.542376
-0.946571,0.107521,0.175585,0.661128,-0.153782,-0.138426,-0.543511
-0.946394,0.107541,0.175694,0.661357,-0.153864,-0.13859,-0.541761
-0.946493,0.107724,0.175912,0.661585,-0.154082,-0.13857,-0.543866
-0.946573,0.107545,0.175729,0.66131,-0.153655,-0.138563,-0.541823
-0.946479,0.107606,0.175719,0.661618,-0.153744,-0.138419,-0.54216
-0.946499,0.107601,0.175764,0.66162,-0.153788,-0.138522,-0.542404
-0.946624,0.107575,0.175584,0.66151,-0.153601,-0.138262,-0.542301
-0.946509,0.107787,0.17607,0.661904,-0.153775,-0.138565,-0.541617
-0.946657,0.107712,0.175859,0.661685,-0.153382,-0.138238,-0.541793
-0.946505,0.107704,0.176076,0.661942,-0.153799,-0.138671,-0.541072
-0.946627,0.107869,0.176098,0.662069,-0.153826,-0.138453,-0.543242
-0.946603,0.107729,0.176115,0.662028,-0.153644,-0.138612,-0.542093
-0.94649,0.107772,0.176231,0.662393,-0.153681,-0.138761,-0.541579
-0.946442,0.107804,0.176024,0.662511,-0.153721,-0.138555,-0.542355
-0.946634,0.107787,0.176237,0.662281,-0.153574,-0.13863,-0.541893
-0.94641,0.107847,0.176372,0.662766,-0.153673,-0.138826,-0.541814
-0.94662,0.107826,0.176351,0.662593,-0.153566,-0.138613,-0.54307
-0.946501,0.107955,0.176837,0.662605,-0.15346,-0.139114,-0.541018
-0.946473,0.108098,0.176922,0.663047,-0.15379,-0.139003,-0.543656
-0.946566,0.107937,0.176625,0.662748,-0.153416,-0.138938,-0.542446
