Pectoralis,AntDelt,PostDelt,TeresMaj,TriLong,TriShort,BicepLong,BicepShort,Brachiorad,FlexCarpiRad,FlexCarpiUln,ExtCarpiRad,
-0.0254494,0.0364262,0.00246303,-0.00363093,-0.00214256,-0.00737902,0.0067652,0.000869032,0.0116062,0.00252965,-0.0062394,0.0231641,
-0.0153116,0.0566609,-0.00300405,-0.00136996,-0.000493371,-0.0157857,0.00903053,-0.00525084,0.00171786,0.00738021,-0.00201396,0.0228491,
-0.0161248,0.0556453,-0.00203202,-0.00136352,-0.00624934,-0.018395,0.0096866,-0.00589714,-0.00301882,-0.00161256,-0.00713116,0.0157765,
-0.0156551,0.0449695,0.00119392,-0.00167995,-0.00395723,-0.00458282,0.00808951,-0.00461118,-0.00196001,0.000340847,-0.00324032,0.00967267,
-0.0103612,0.0384766,-0.00395028,-0.00360701,-0.00102167,0.0559134,0.00488309,-0.0104073,-0.0070177,-0.00253479,-0.0112677,-0.000935641,
-0.0163401,0.0323034,0.000886113,0.00186972,0.00352317,0.0948419,0.00135507,-0.00976383,-0.00177295,-0.00444455,-0.00674567,-0.0144389,
-0.0239336,0.0229081,-0.00747668,-0.00746376,0.00549209,0.0684186,0.00265645,-0.00879765,0.000896443,-0.0111835,-0.00995661,-0.0324471,
-0.020586,0.00385166,0.00315558,-0.000700966,0.00359733,0.0494022,0.00299224,-0.00718673,0.00453174,-0.0195321,-0.0151055,-0.0507751,
-0.0146676,-0.025832,-0.00134291,-0.00971414,0.00620942,0.0303879,-0.000213177,-0.00686264,0.0065573,-0.0179006,-0.0128561,-0.0459214,
-0.0225975,-0.0481143,0.00446132,-0.00617236,-0.00115903,0.0123414,0.000122874,-0.00074256,-0.00107556,-0.0201325,-0.0112569,-0.0384903,
-0.0289223,-0.0707222,0.0006079,-0.00520685,0.000486582,-0.00441584,0.000780907,0.00505671,-0.00999644,-0.0175353,-0.0170685,-0.023009,
-0.0217301,-0.076271,0.00544758,-0.00327621,-0.0165407,-0.0218156,-0.00306827,0.0024867,-0.00668389,-0.016226,-0.0209547,-0.0229792,
-0.011001,-0.0769947,0.00384912,-0.00166815,-0.00781301,-0.0450092,-0.00466394,0.011186,-0.00884485,-0.00654612,-0.0180862,-0.0197283,
0.0109919,-0.068708,0.00225139,-0.00134844,-0.00713409,-0.062085,-0.00271838,0.0102284,-0.0171233,-0.00040759,-0.0174774,-0.00971496,
0.0307271,-0.0478697,0.00162027,0.000902389,-0.00130433,-0.0846333,-0.00109497,0.0186086,-0.00994917,0.00122387,-0.013333,0.00448527,
0.0276005,-0.0315424,-0.00222947,-0.00135445,-0.00770855,-0.0772404,-0.00687648,0.0176541,-0.0088927,0.00156774,-0.0159552,0.00709728,
0.0280114,-0.0174726,-0.000283414,0.00218326,-0.0144349,-0.0440918,0.00021939,0.0257155,-0.00107626,0.00513127,-0.0111784,0.0200132,
0.0171506,-0.000187106,0.00101962,0.00539866,-0.0179419,-0.00321609,-0.00298724,0.0257301,-0.00646032,0.00611956,-0.0150994,0.0274578,
0.00757392,0.00325137,-0.0012178,0.00217491,-0.00277623,0.0176996,-0.0042626,0.0276779,-0.0169964,-0.000940335,-0.00711394,0.0274994,
